timestamp,content_id
1430668839,11589
1430668854,5
1430668856,23455
1430668863,776
1430668869,776
1430668886,5
1430668887,4481
1430668912,233340
1430668916,11257
1430668922,45
1430668937,14934
1430668944,2
1430668953,98574
1430668964,20925
1430668979,1890
1430668981,8523
1430669010,45
1430669015,47
1430669018,249
1430669020,14
1430669022,1017
1430669052,198
1430669054,928
1430669061,1017
1430669066,20132
1430669073,93938
1430669084,98
1430669087,4744
1430669099,48
1430669104,93938
1430669154,49837
1430669157,762
1430669158,45
1430669167,45
1430669167,1886
1430669189,53
1430669197,11051
1430669227,45
1430669235,222
1430669251,367
1430669254,98
1430669260,582
1430669265,36
1430669280,463
1430669285,453
1430669293,5139
1430669343,33864
1430669348,175
1430669358,48
1430669366,45
1430669383,39060
1430669395,36
1430669411,45
1430669422,107
1430669431,5769
1430669437,16716
1430669443,14
1430669450,45
1430669464,879
1430669476,14
1430669480,12604
1430669495,727
1430669527,1296
1430669529,18073
1430669552,8
1430669562,3986
1430669570,198
1430669595,9246
1430669596,1259
1430669656,1259
1430669682,1259
1430669707,48
1430669710,45
1430669726,9633
1430669727,45
1430669733,48
1430669736,45
1430669740,1259
1430669742,213
1430669745,197
1430669762,53
1430669762,5366
1430669765,14
1430669773,55
1430669816,6771
1430669824,3772
1430669838,36
1430669844,14
1430669846,12645
1430669852,199641
1430669852,11240
1430669864,5194
1430669869,94769
1430669872,213
1430669874,5
1430669876,2
1430669886,102975
1430669897,594
1430669899,175
1430669899,47
1430669922,744
1430670040,175
1430670045,727
1430670090,3348
1430670095,4132
1430670116,7028
1430670116,192149
1430670129,430
1430670130,53
1430670134,116
1430670142,47
1430670153,14
1430670163,8
1430670169,5139
1430670171,727
1430670265,48
1430670285,96
1430670285,7054
1430670292,5
1430670303,14
1430670325,423
1430670328,8177
1430670331,45
1430670342,42264
1430670351,96
1430670359,9684
1430670365,5
1430670367,95
1430670375,33853
1430670379,10095
1430670381,78
1430670391,2920
1430670400,36
1430670408,5
1430670428,25583
1430670442,5
1430670448,237568
1430670476,25583
1430670486,48
1430670504,45
1430670508,2037
1430670517,2
1430670531,9925
1430670533,2639
1430670540,18176
1430670550,48
1430670562,109
1430670578,18683
1430670601,114006
1430670607,27696
1430670641,13914
1430670650,26
1430670655,821
1430670656,94769
1430670660,1968
1430670661,6389
1430670669,453
1430670676,423
1430670686,55
1430670693,4358
1430670699,430
1430670700,6042
1430670717,115
1430670736,92858
1430670736,5
1430670741,78
1430670759,19768
1430670772,48
1430670773,107
1430670797,34451
1430670800,2058
1430670818,4358
1430670818,2058
1430670822,5698
1430670834,5
1430670850,69572
1430670852,47
1430670853,453
1430670867,352
1430670870,5
1430670880,5562
1430670881,5
1430670892,5
1430670919,19720
1430670922,5
1430670923,19720
1430670930,7405
1430670933,13985
1430670934,229208
1430670940,7405
1430670959,5204
1430670975,2136
1430670978,45
1430670983,36
1430671000,34189
1430671022,1171
1430671036,3086
1430671038,1692
1430671042,190188
1430671043,2920
1430671065,59527
1430671108,1449
1430671123,177678
1430671148,12873
1430671153,142
1430671159,197
1430671168,45
1430671178,5
1430671216,36
1430671217,13743
1430671221,14
1430671246,99972
1430671252,36
1430671255,128
1430671259,10832
1430671268,36
1430671290,2850
1430671290,55
1430671293,187
1430671297,8382
1430671297,1753
1430671309,31804
1430671309,3239
1430671313,3054
1430671335,213
1430671337,54687
1430671339,31804
1430671340,2039
1430671352,5796
1430671353,978
1430671358,109
1430671365,25755
1430671366,36
1430671367,1683
1430671375,3122
1430671375,6295
1430671376,10284
1430671376,10284
1430671378,15394
1430671385,250
1430671399,202389
1430671401,36
1430671408,2039
1430671447,1843
1430671455,3095
1430671527,51728
1430671556,423
1430671561,211
1430671575,114
1430671580,42264
1430671583,129884
1430671591,126872
1430671593,7044
1430671606,24992
1430671612,1753
1430671650,960
1430671655,6295
1430671660,27598
1430671708,109
1430671738,14
1430671745,2013
1430671750,8359
1430671751,55
1430671752,112330
1430671756,36
1430671758,14
1430671770,1728
1430671777,5928
1430671838,779
1430671840,1047
1430671856,2
1430671869,8
1430671894,8
1430671908,47459
1430671927,1750
1430671941,575
1430671982,14
1430672029,2136
1430672030,1110
1430672038,190
1430672045,2
1430672056,2
1430672076,3348
1430672098,291611
1430672119,6479
1430672129,137798
1430672133,7783
1430672134,6479
1430672143,13626
1430672152,13626
1430672154,89913
1430672163,414
1430672180,237878
1430672185,1753
1430672201,20041
1430672215,8
1430672228,13626
1430672299,13153
1430672299,5682
1430672379,5039
1430672403,2209
1430672412,11569
1430672422,190077
1430672443,357807
1430672460,14
1430672504,23335
1430672506,423
1430672510,6271
1430672513,2
1430672529,2217
1430672542,32835
1430672561,27699
1430672564,20172
1430672604,29329
1430672611,63518
1430672616,3497
1430672633,67649
1430672648,338
1430672677,3086
1430672742,1177
1430672761,88533
1430672783,78
1430672791,232
1430672799,4880
1430672802,14
1430672829,373907
1430672841,14
1430672845,10482
1430672849,36
1430672865,45
1430672892,1408
1430672905,1265
1430672919,249
1430672950,14
1430672958,2089
1430672974,2101
1430673001,2850
1430673058,319607
1430673070,103201
1430673085,354
1430673102,45
1430673170,10482
1430673179,10482
1430673186,197
1430673210,8555
1430673233,92888
1430673250,45
1430673400,3929
1430673404,2
1430673407,14
1430673423,55
1430673426,40342
1430673490,27189
1430673495,2101
1430673497,2
1430673520,72639
1430673523,27189
1430673528,193
1430673537,393
1430673543,393
1430673548,36
1430673554,1545
1430673566,2629
1430673610,14
1430673628,24375
1430673639,463
1430673658,14
1430673674,48
1430673679,367
1430673701,4899
1430673752,13723
1430673760,6255
1430673768,167679
1430673791,32610
1430673799,155985
1430673807,6255
1430673829,177678
1430673847,107
1430673911,463
1430673916,177
1430673957,2617
1430673964,4453
1430673971,7054
1430673985,7054
1430674006,237568
1430674095,342
1430674101,3617
1430674110,41562
1430674114,3411
1430674176,52354
1430674183,4453
1430674199,36
1430674203,371380
1430674209,146493
1430674219,4963
1430674219,4963
1430674227,8
1430674232,14
1430674258,5397
1430674270,438
1430674349,176150
1430674364,215
1430674366,45
1430674394,2
1430674431,460
1430674501,20925
1430674519,20388
1430674527,54159
1430674562,16302
1430674567,20041
1430674632,4880
1430674639,8
1430674644,95
1430674679,2029
1430674703,1171
1430674739,4439
1430674752,237878
1430674803,21227
1430674807,10763
1430674814,13919
1430674828,1728
1430674842,6151
1430674873,6515
1430674921,352
1430674973,954
1430674997,3411
1430675026,20
1430675035,277
1430675091,59
1430675116,1692
1430675159,3929
1430675186,0
1430675201,3929
1430675206,2228
1430675250,20
1430675257,38995
1430675271,8
1430675317,82207
1430675330,438
1430675366,319
1430675373,319
1430675459,2
1430675467,2753
1430675498,2
1430675513,174734
1430675516,14
1430675526,8
1430675563,2
1430675577,17757
1430675601,220140
1430675601,2
1430675606,837
1430675612,2039
1430675622,2
1430675651,15394
1430675674,220140
1430675682,198
1430675686,311
1430675706,23456
1430675728,26058
1430675773,64
1430675773,2101
1430675782,181888
1430675827,954
1430675833,48248
1430675857,101647
1430675857,24986
1430675910,7909
1430675943,3302
1430675961,954
1430676051,92139
1430676076,12731
